pedido_id;item_id;status;valor;motivo
7334fdb6-a884-4c1c-a97f-e07eebdb0d6a;3dd50461-10dd-4f83-81a4-e9a86d8ff958;canceled;1.10;pedido canceled
a9b8cc1f-3547-46da-b0fd-e816166acfb3;2a1d227f-6991-47f5-894e-e102aa60de0d;canceled;14.90;pedido canceled
a9b8cc1f-3547-46da-b0fd-e816166acfb3;0fd88f4e-123c-40c4-9192-5abdfc2c79bf;canceled;14.90;pedido canceled
cf157dff-f590-4934-a972-ce8861173a40;c3838b4f-bc60-4ecf-9d2a-d511a8a89ff2;canceled;14.90;pedido canceled
10b0e7e4-5975-4ec2-9f0b-1b242c7298d4;c9bada41-fe4d-46a6-b112-e150e27640b8;canceled;14.90;pedido canceled
4a2dea29-ed9a-4c41-9b0d-9121e1a31823;29b9a287-bb8b-419f-aa71-943a692c410d;canceled;14.90;pedido canceled
11df5a45-c0ac-4cb5-b6e8-9c5c74350e59;baaa3b81-0750-414c-9ffa-83c2e22e0159;canceled;14.90;pedido canceled
ed53bb04-997e-4a69-93c9-d256939cb880;fc04caaf-a873-4b63-b7bf-1fed04261605;canceled;14.90;pedido canceled
2a749fc9-546f-456d-8477-0a09029f0cb7;cd1a5825-ecf8-4337-ab84-4b5dc7178610;canceled;19.99;pedido canceled
909d4eb0-0716-4307-95d4-eb54fa70fef0;9eea969d-4dc3-47e6-8e67-415e9f7b8fd5;canceled;19.99;pedido canceled
aa991d27-ae1f-47b0-b06a-8baa4f15097b;c048f511-046c-4ab6-9c89-b363a0a4a820;canceled;14.90;pedido canceled
287f5cf6-d286-4a96-baf1-74c8a1ab6550;c7dee915-e069-4966-a5c8-2187de87755f;canceled;14.90;pedido canceled
c62b46c5-5813-49aa-a41e-52af5efb765c;7c95636a-ddf5-4fd3-b450-be5ae1575585;canceled;14.90;pedido canceled
5c4e02c0-f038-4d09-b7c3-fc0b9105cddc;eff59adb-20e7-4128-adf3-1cdba3fa05f5;canceled;14.90;pedido canceled
469653cd-5d79-4b7f-b3a8-b57fe51b8186;c4e82bf8-c6a1-4174-ad05-fafae1f27d95;canceled;14.90;pedido canceled
acc5e1e1-a1ab-41a6-8e05-7cac63c3f80c;0c4894d5-06e1-4332-b8f9-f10d4934f495;canceled;14.90;pedido canceled
971a82d9-8334-49ba-bb21-a9285433c9cc;d377e64a-b29f-4d23-8ff8-68d8c7d9166f;canceled;14.90;pedido canceled
70098a5c-9985-42e5-b4be-a8c9d16c5866;0d1af5e8-80ae-4276-a1b5-295344ff2d7b;canceled;14.90;pedido canceled
c0addd27-e861-4d66-8e8c-aeb3e3301f91;cdae4349-275b-41d9-89a4-288c6c080823;canceled;19.99;pedido canceled
c380529f-022a-4e38-8113-9929831c2aed;33aa56d9-0007-4db1-b5cb-5f872574ef6e;canceled;19.99;pedido canceled
2ac1bc02-b2ea-41d9-93ff-3724d78bafd2;0d9efff1-1ac6-4245-9fff-0c454ca0096e;canceled;14.90;pedido canceled
b14b0cbb-17a5-449a-bfb8-b120108e5537;46c33fec-1042-463b-9280-df651c1b096b;canceled;14.90;pedido canceled
4c192b70-d255-4856-8f6b-8123ce1fabd1;1ad3f399-ef4a-4ead-8235-369f2393c550;canceled;14.90;pedido canceled
5c036a28-6af4-45c6-b0dc-91daa6c4fbf8;06ac03f9-e818-4bec-9074-f7e587c3664d;canceled;14.90;pedido canceled
f95aad90-4258-477b-a7c7-dadced9615c5;2b02ada5-3446-4081-b853-9d44da67097c;canceled;14.90;pedido canceled
d94e42d3-0c47-4ac5-8b0e-6518deb6f79a;76ba2ea8-c6fc-4ba5-9ead-048c7c4cf838;canceled;14.90;pedido canceled
062cfcd1-00ee-4db9-a270-1386cfa4eda4;95dc8b16-f243-4681-8cc2-f0d0cefe1787;pending;13.41;pedido pending
45923fd8-71d8-4af7-ad42-3103372affe9;c48d8f21-862f-40e8-a6c2-11e55050d40a;pending;14.90;pedido pending
6fc97188-5e6f-473a-b3da-6103e620d0df;55d5c9ac-3593-4939-8128-91380e69acdc;pending;14.90;pedido pending
56ae3449-6018-4151-be64-db6f355f470a;8464bf58-2dbc-419b-9fcf-e0d9743048b4;pending;14.90;pedido pending
