mes;vendas_itens;pedidos;valor_bruto;taxas_gateway;comissao_funpace;valor_fotografo;repasses_vinculados;saldo_pendente
2026-05;7;7;62.90;;25.16;37.74;;
2026-06;42;28;536.17;;214.44;321.73;;
2026-07;1;1;13.41;;5.36;8.05;;
