tipo;pedido_id;item_id;valor;descricao;impacto;acao_manual
sem_evidencia_suficiente;7334fdb6-a884-4c1c-a97f-e07eebdb0d6a;3dd50461-10dd-4f83-81a4-e9a86d8ff958;1.10;pedido canceled;excluido_do_total_definitivo;Revisar comprovacao financeira e historico administrativo.
parcialmente_conciliada;92db5705-d673-499e-a49c-832489e49b8c;34563bf3-c1c8-4579-a910-1834716ffcb2;1.10;sem payment paid;incluido_com_evidencia_financeira;Revisar comprovacao financeira e historico administrativo.
parcialmente_conciliada;1acd0254-5f9a-4d64-a544-95775b39bc8d;924f9fe1-2eac-4811-bc80-eaca6eb7a34c;1.10;sem payment paid;incluido_com_evidencia_financeira;Revisar comprovacao financeira e historico administrativo.
parcialmente_conciliada;7fff3345-b3cc-4dc6-8d02-5520ab405f32;622e81b4-b5ba-46e9-ab84-7a425878fd92;1.10;sem payment paid;incluido_com_evidencia_financeira;Revisar comprovacao financeira e historico administrativo.
sem_evidencia_suficiente;a9b8cc1f-3547-46da-b0fd-e816166acfb3;2a1d227f-6991-47f5-894e-e102aa60de0d;14.90;pedido canceled;excluido_do_total_definitivo;Revisar comprovacao financeira e historico administrativo.
sem_evidencia_suficiente;a9b8cc1f-3547-46da-b0fd-e816166acfb3;0fd88f4e-123c-40c4-9192-5abdfc2c79bf;14.90;pedido canceled;excluido_do_total_definitivo;Revisar comprovacao financeira e historico administrativo.
sem_evidencia_suficiente;cf157dff-f590-4934-a972-ce8861173a40;c3838b4f-bc60-4ecf-9d2a-d511a8a89ff2;14.90;pedido canceled;excluido_do_total_definitivo;Revisar comprovacao financeira e historico administrativo.
sem_evidencia_suficiente;10b0e7e4-5975-4ec2-9f0b-1b242c7298d4;c9bada41-fe4d-46a6-b112-e150e27640b8;14.90;pedido canceled;excluido_do_total_definitivo;Revisar comprovacao financeira e historico administrativo.
sem_evidencia_suficiente;4a2dea29-ed9a-4c41-9b0d-9121e1a31823;29b9a287-bb8b-419f-aa71-943a692c410d;14.90;pedido canceled;excluido_do_total_definitivo;Revisar comprovacao financeira e historico administrativo.
sem_evidencia_suficiente;11df5a45-c0ac-4cb5-b6e8-9c5c74350e59;baaa3b81-0750-414c-9ffa-83c2e22e0159;14.90;pedido canceled;excluido_do_total_definitivo;Revisar comprovacao financeira e historico administrativo.
sem_evidencia_suficiente;ed53bb04-997e-4a69-93c9-d256939cb880;fc04caaf-a873-4b63-b7bf-1fed04261605;14.90;pedido canceled;excluido_do_total_definitivo;Revisar comprovacao financeira e historico administrativo.
parcialmente_conciliada;a196cc98-1970-434c-8575-909e3db1c395;3a01a16f-dc0f-4d02-b1a8-0e877a2df623;14.90;sem payment paid;incluido_com_evidencia_financeira;Revisar comprovacao financeira e historico administrativo.
parcialmente_conciliada;8a19eee0-bc46-47cd-aa70-3fd9471812d1;a18b8434-d256-4173-86d7-1f8da2557a34;14.90;sem payment paid;incluido_com_evidencia_financeira;Revisar comprovacao financeira e historico administrativo.
parcialmente_conciliada;8b42045e-9433-4901-81e4-ae4f4410fd24;570cd594-89e8-4286-8181-540a97104c39;14.90;sem payment paid;incluido_com_evidencia_financeira;Revisar comprovacao financeira e historico administrativo.
sem_evidencia_suficiente;2a749fc9-546f-456d-8477-0a09029f0cb7;cd1a5825-ecf8-4337-ab84-4b5dc7178610;19.99;pedido canceled;excluido_do_total_definitivo;Revisar comprovacao financeira e historico administrativo.
sem_evidencia_suficiente;909d4eb0-0716-4307-95d4-eb54fa70fef0;9eea969d-4dc3-47e6-8e67-415e9f7b8fd5;19.99;pedido canceled;excluido_do_total_definitivo;Revisar comprovacao financeira e historico administrativo.
sem_evidencia_suficiente;aa991d27-ae1f-47b0-b06a-8baa4f15097b;c048f511-046c-4ab6-9c89-b363a0a4a820;14.90;pedido canceled;excluido_do_total_definitivo;Revisar comprovacao financeira e historico administrativo.
sem_evidencia_suficiente;287f5cf6-d286-4a96-baf1-74c8a1ab6550;c7dee915-e069-4966-a5c8-2187de87755f;14.90;pedido canceled;excluido_do_total_definitivo;Revisar comprovacao financeira e historico administrativo.
sem_evidencia_suficiente;c62b46c5-5813-49aa-a41e-52af5efb765c;7c95636a-ddf5-4fd3-b450-be5ae1575585;14.90;pedido canceled;excluido_do_total_definitivo;Revisar comprovacao financeira e historico administrativo.
sem_evidencia_suficiente;5c4e02c0-f038-4d09-b7c3-fc0b9105cddc;eff59adb-20e7-4128-adf3-1cdba3fa05f5;14.90;pedido canceled;excluido_do_total_definitivo;Revisar comprovacao financeira e historico administrativo.
sem_evidencia_suficiente;469653cd-5d79-4b7f-b3a8-b57fe51b8186;c4e82bf8-c6a1-4174-ad05-fafae1f27d95;14.90;pedido canceled;excluido_do_total_definitivo;Revisar comprovacao financeira e historico administrativo.
sem_evidencia_suficiente;acc5e1e1-a1ab-41a6-8e05-7cac63c3f80c;0c4894d5-06e1-4332-b8f9-f10d4934f495;14.90;pedido canceled;excluido_do_total_definitivo;Revisar comprovacao financeira e historico administrativo.
sem_evidencia_suficiente;971a82d9-8334-49ba-bb21-a9285433c9cc;d377e64a-b29f-4d23-8ff8-68d8c7d9166f;14.90;pedido canceled;excluido_do_total_definitivo;Revisar comprovacao financeira e historico administrativo.
sem_evidencia_suficiente;70098a5c-9985-42e5-b4be-a8c9d16c5866;0d1af5e8-80ae-4276-a1b5-295344ff2d7b;14.90;pedido canceled;excluido_do_total_definitivo;Revisar comprovacao financeira e historico administrativo.
sem_evidencia_suficiente;c0addd27-e861-4d66-8e8c-aeb3e3301f91;cdae4349-275b-41d9-89a4-288c6c080823;19.99;pedido canceled;excluido_do_total_definitivo;Revisar comprovacao financeira e historico administrativo.
sem_evidencia_suficiente;c380529f-022a-4e38-8113-9929831c2aed;33aa56d9-0007-4db1-b5cb-5f872574ef6e;19.99;pedido canceled;excluido_do_total_definitivo;Revisar comprovacao financeira e historico administrativo.
sem_evidencia_suficiente;2ac1bc02-b2ea-41d9-93ff-3724d78bafd2;0d9efff1-1ac6-4245-9fff-0c454ca0096e;14.90;pedido canceled;excluido_do_total_definitivo;Revisar comprovacao financeira e historico administrativo.
